total_years,years,n_awards
2003,1999,1
2003,2000,3
2003,2001,10
2004,2002,5
2006,2003,31
2007,2004,52
2007,2005,11
2007,2006,28
2007,2007,48
2009,2008,18
2009,2009,43
2009,2010,31
2011,2011,28
2011,2012,37
2012,2013,18
2014,2014,46
2014,2015,46
2014,2016,55
2015,2017,56
2016,2018,37
2016,2019,27
2016,2020,19
2017,,
2018,,
2019,,
2018,,
2001,,
2001,,
2001,,
2001,,
2004,,
2005,,
2005,,
2005,,
2006,,
2006,,
2007,,
2007,,
2008,,
2010,,
2010,,
2010,,
2011,,
2015,,
2007,,
1999,,
2000,,
2001,,
2002,,
2004,,
2004,,
2005,,
2006,,
2006,,
2007,,
2007,,
2007,,
2007,,
2007,,
2008,,
2008,,
2008,,
2010,,
2010,,
2010,,
2012,,
2013,,
2013,,
2013,,
2015,,
2015,,
2015,,
2016,,
2016,,
2017,,
2017,,
2017,,
2018,,
2019,,
2020,,
2016,,
2016,,
2018,,
2003,,
2004,,
2004,,
2004,,
2004,,
2005,,
2006,,
2006,,
2007,,
2007,,
2007,,
2007,,
2007,,
2007,,
2009,,
2009,,
2009,,
2009,,
2010,,
2010,,
2010,,
2010,,
2011,,
2012,,
2012,,
2012,,
2012,,
2012,,
2012,,
2013,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2018,,
2018,,
2019,,
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2020,,
2020,,
2015,,
2015,,
2018,,
2018,,
2018,,
2019,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2018,,
2011,,
2011,,
2012,,
2013,,
2013,,
2013,,
2013,,
2013,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2003,,
2003,,
2003,,
2003,,
2003,,
2003,,
2004,,
2004,,
2006,,
2006,,
2006,,
2006,,
2011,,
2012,,
2012,,
2012,,
2012,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2015,,
2015,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2018,,
2018,,
2019,,
2019,,
2019,,
2012,,
2014,,
2020,,
2004,,
2004,,
2004,,
2017,,
2018,,
2019,,
2013,,
2013,,
2016,,
2016,,
2016,,
2018,,
2018,,
2018,,
2009,,
2006,,
2018,,
2019,,
2019,,
2004,,
2004,,
2007,,
2009,,
2012,,
2015,,
2016,,
2017,,
2019,,
2016,,
2016,,
2004,,
2007,,
2013,,
2011,,
2016,,
2017,,
2018,,
2016,,
2009,,
2009,,
2016,,
2016,,
2018,,
2019,,
2016,,
2017,,
2017,,
2006,,
2016,,
2016,,
2016,,
2007,,
2017,,
2017,,
2012,,
2000,,
2000,,
2001,,
2001,,
2001,,
2001,,
2001,,
2002,,
2002,,
2004,,
2004,,
2004,,
2004,,
2004,,
2004,,
2005,,
2006,,
2006,,
2006,,
2006,,
2006,,
2006,,
2007,,
2007,,
2007,,
2007,,
2008,,
2008,,
2008,,
2009,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2010,,
2011,,
2011,,
2011,,
2012,,
2012,,
2013,,
2014,,
2015,,
2015,,
2015,,
2015,,
2015,,
2015,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2018,,
2019,,
2019,,
2019,,
2020,,
2020,,
2020,,
2020,,
2017,,
2003,,
2015,,
2015,,
2015,,
2016,,
2017,,
2017,,
2017,,
2017,,
2018,,
2020,,
2004,,
2007,,
2007,,
2007,,
2009,,
2010,,
2010,,
2011,,
2012,,
2015,,
2003,,
2008,,
2003,,
2014,,
2015,,
2015,,
2015,,
2015,,
2012,,
2018,,
2018,,
2007,,
2018,,
2017,,
2016,,
2008,,
2008,,
2009,,
2016,,
2016,,
2018,,
2014,,
2004,,
2009,,
2003,,
2003,,
2003,,
2003,,
2004,,
2006,,
2006,,
2006,,
2006,,
2009,,
2009,,
2009,,
2011,,
2012,,
2014,,
2016,,
2016,,
2009,,
2003,,
2003,,
2003,,
2004,,
2004,,
2004,,
2006,,
2007,,
2007,,
2007,,
2007,,
2009,,
2009,,
2009,,
2010,,
2010,,
2010,,
2011,,
2012,,
2012,,
2012,,
2013,,
2014,,
2014,,
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2002,,
2003,,
2003,,
2003,,
2004,,
2004,,
2004,,
2006,,
2006,,
2007,,
2007,,
2007,,
2008,,
2009,,
2009,,
2009,,
2009,,
2010,,
2011,,
2011,,
2011,,
2013,,
2014,,
2014,,
2014,,
2015,,
2016,,
2016,,
2016,,
2016,,
2016,,
2004,,
2004,,
2004,,
2004,,
2004,,
2007,,
2007,,
2007,,
2007,,
2007,,
2008,,
2008,,
2009,,
2009,,
2009,,
2009,,
2009,,
2011,,
2012,,
2012,,
2012,,
2012,,
2014,,
2014,,
2015,,
2015,,
2015,,
2015,,
2015,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2017,,
2018,,
2019,,
2020,,
2020,,
2020,,
2020,,
2020,,
2020,,
2004,,
2004,,
2005,,
2007,,
2007,,
2008,,
2009,,
2009,,
2010,,
2015,,
2017,,
2017,,
2018,,
2019,,
2020,,
2004,,
2008,,
2008,,
2008,,
2009,,
2010,,
2010,,
2011,,
2011,,
2011,,
2011,,
2012,,
2012,,
2012,,
2012,,
2012,,
2013,,
2015,,
2015,,
2016,,
2017,,
2017,,
2017,,
2018,,
2018,,
2018,,
2019,,
2004,,
2004,,
2004,,
2004,,
2004,,
2005,,
2005,,
2007,,
2007,,
2007,,
2009,,
2009,,
2009,,
2009,,
2011,,
2011,,
2011,,
2011,,
2012,,
2012,,
2014,,
2014,,
2014,,
2014,,
2014,,
2014,,
2015,,
2015,,
2015,,
2015,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2016,,
2017,,
2019,,
2019,,
2019,,
2019,,
2019,,
2019,,
2002,,
2003,,
2003,,
2003,,
2003,,
2003,,
2003,,
2003,,
2003,,
2004,,
2004,,
2004,,
2004,,
2004,,
2004,,
2004,,
2004,,
2005,,
2005,,
2006,,
2006,,
2007,,
2007,,
2008,,
2009,,
2009,,
2009,,
2009,,
2009,,
2010,,
2010,,
2011,,
2011,,
2012,,
2012,,
2013,,
2013,,
2014,,
2014,,
2014,,
2015,,
2016,,
2016,,
2017,,
2017,,
2018,,
